Linear Regression - OLS,AE_Bacteria,,,,,
,,,,,,
Model:,OLS,Adj. R-squared:,0.049,,,
Dependent Variable:,divergence_time_log,AIC:,72.3718,,,
Date:,2022-04-25 04:21,BIC:,75.3033,,,
No. Observations:,32.0,Log-Likelihood:,-34.186,,,
Df Model:,1.0,F-statistic:,2.583,,,
Df Residuals:,30.0,Prob (F-statistic):,0.118,,,
R-squared:,0.079,Scale:,0.52903,,,
,,,,,,
,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
const,54.05814790915355,32.009457506151556,1.6888179969549528,0.10162382757953624,-11.313885496804673,119.43018131511177
amino_entropy,-54.93913834637071,34.18253043103813,-1.6072285361438703,0.11847982515237594,-124.74917873235874,14.87090203961732
,,,,,,
,,,,,,
Shapiro-Wilk test,(Normality of the residuals),,,,,
Null hypothesis:,has normal distribution,,,,,
W,p-value,,,,,
0.8410670757293701,0.00026732237893156707,,,,,
,,,,,,
Condition number,(Mutlicollinearity),,,,,
If above 30:,may have severe multicollinearity,,,,,
number,,,,,,
1.0,,,,,,
,,,,,,
White test,(Heteroskedasticity),,,,,
Null hypothesis:,homoskedasticity,,,,,
Lagrange Multiplier statistic,LM p-value,F statistic,F p-value,,,
1.4015560668543472,0.4961990940871287,0.6641698190205585,0.5223550074325927,,,
,,,,,,
Durbin-Watson test,(Autocorrelation),,,,,
Between 0-4,2 indicates no autocorrelation,,,,,
test statistic,,,,,,
2.0002953132885075,,,,,,
,,,,,,
Rainbow Test,(Linearity),,,,,
Null hypothesis:,linear,,,,,
F statistic,p value,,,,,
2.163330962862963,0.07698699468505597,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Counts of alternate,species sequences,,,,,
duplicates,1,2,3,4,5,
counts,365,4,1,1,1,
,,,,,,
Basic Statistics,,,,,,
names,count,minimum,maximum,mean,standard deviation,
divergence_time,32,3.616626,3300.6025,857.2018022291666,775.04880215042,
amino_entropy,32,0.925662856679478,0.9398503707575524,0.9364198280376014,0.0038216711241799693,
divergence_time_log,32,0.5583036001262061,3.518593224284446,2.612049426311088,0.7456830607356956,
