Linear Regression - OLS,AE_Metazoa,,,,,
,,,,,,
Model:,OLS,Adj. R-squared:,0.166,,,
Dependent Variable:,divergence_time_log,AIC:,510.0057,,,
Date:,2022-04-15 05:12,BIC:,517.1727,,,
No. Observations:,266.0,Log-Likelihood:,-253.0,,,
Df Model:,1.0,F-statistic:,53.92,,,
Df Residuals:,264.0,Prob (F-statistic):,2.6e-12,,,
R-squared:,0.17,Scale:,0.39532,,,
,,,,,,
,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
const,-389.95899500699835,53.23742261851846,-7.324903720477114,2.903459972375166e-12,-494.78297422386186,-285.13501579013484
amino_entropy,415.3848354486111,56.56941259085569,7.34292290522665,2.5964917265868363e-12,304.0001996403524,526.7694712568698
,,,,,,
,,,,,,
Shapiro-Wilk test,(Normality of the residuals),,,,,
Null hypothesis:,has normal distribution,,,,,
W,p-value,,,,,
0.9965962171554565,0.8409034013748169,,,,,
,,,,,,
Condition number,(Mutlicollinearity),,,,,
If above 30:,may have severe multicollinearity,,,,,
number,,,,,,
1.0,,,,,,
,,,,,,
White test,(Heteroskedasticity),,,,,
Null hypothesis:,homoskedasticity,,,,,
Lagrange Multiplier statistic,LM p-value,F statistic,F p-value,,,
5.230973227116381,0.07313219291937609,2.637863046384366,0.07340566749575742,,,
,,,,,,
Durbin-Watson test,(Autocorrelation),,,,,
Between 0-4,2 indicates no autocorrelation,,,,,
test statistic,,,,,,
1.595646514933547,,,,,,
,,,,,,
Rainbow Test,(Linearity),,,,,
Null hypothesis:,linear,,,,,
F statistic,p value,,,,,
0.8214728156584817,0.8702026498421915,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Counts of alternate,species sequences,,,,,
duplicates,1,2,3,4,5,
counts,365,4,1,1,1,
,,,,,,
Basic Statistics,,,,,,
names,count,minimum,maximum,mean,standard deviation,
divergence_time,266,0.0538,744.0,33.33852344245287,84.01156356567168,
amino_entropy,266,0.9400028023574206,0.9428865009657008,0.9410988416224371,0.0006827651229979677,
divergence_time_log,266,-1.2692177243336107,2.871572935545878,0.9591924612162767,0.6886695952317666,
