Linear Regression - OLS,CE_All,,,,,
,,,,,,
Model:,OLS,Adj. R-squared:,0.086,,,
Dependent Variable:,divergence_time_log,AIC:,897.1983,,,
Date:,2022-04-15 05:12,BIC:,905.036,,,
No. Observations:,372.0,Log-Likelihood:,-446.6,,,
Df Model:,1.0,F-statistic:,35.9,,,
Df Residuals:,370.0,Prob (F-statistic):,4.92e-09,,,
R-squared:,0.088,Scale:,0.64959,,,
,,,,,,
,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
const,-4.37264928558049,0.924428333244182,-4.7301117115646445,3.1972708011467245e-06,-6.19044164371037,-2.554856927450609
constructive_entropy,92.67084994120188,15.465956869489508,5.991924762445087,4.921092577401272e-09,62.25865118279553,123.08304869960823
,,,,,,
,,,,,,
Shapiro-Wilk test,(Normality of the residuals),,,,,
Null hypothesis:,has normal distribution,,,,,
W,p-value,,,,,
0.9838076233863831,0.0003488131333142519,,,,,
,,,,,,
Condition number,(Mutlicollinearity),,,,,
If above 30:,may have severe multicollinearity,,,,,
number,,,,,,
1.0,,,,,,
,,,,,,
White test,(Heteroskedasticity),,,,,
Null hypothesis:,homoskedasticity,,,,,
Lagrange Multiplier statistic,LM p-value,F statistic,F p-value,,,
18.52414685975426,9.495823165099835e-05,9.668850263071983,8.076100537125633e-05,,,
,,,,,,
Durbin-Watson test,(Autocorrelation),,,,,
Between 0-4,2 indicates no autocorrelation,,,,,
test statistic,,,,,,
1.2243910904480588,,,,,,
,,,,,,
Rainbow Test,(Linearity),,,,,
Null hypothesis:,linear,,,,,
F statistic,p value,,,,,
2.016321493600175,1.2259431626571371e-06,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Counts of alternate,species sequences,,,,,
duplicates,1,2,3,4,5,
counts,365,4,1,1,1,
,,,,,,
Basic Statistics,,,,,,
names,count,minimum,maximum,mean,standard deviation,
divergence_time,372,0.0538,3300.6025,115.43747278765893,340.9044514155532,
constructive_entropy,372,0.0570639462832074,0.0798295503969787,0.05971071682751296,0.0027055498094928363,
divergence_time_log,372,-1.2692177243336107,3.518593224284446,1.160793593423561,0.8430310020942424,
