Linear Regression - OLS,PE_All,,,,,
,,,,,,
Model:,OLS,Adj. R-squared:,0.149,,,
Dependent Variable:,divergence_time_log,AIC:,870.6814,,,
Date:,2022-04-15 05:12,BIC:,878.5191,,,
No. Observations:,372.0,Log-Likelihood:,-433.34,,,
Df Model:,1.0,F-statistic:,65.89,,,
Df Residuals:,370.0,Prob (F-statistic):,7.14e-15,,,
R-squared:,0.151,Scale:,0.6049,,,
,,,,,,
,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
const,1956.8682990076845,240.92650139497306,8.122262547612435,6.901030828939896e-15,1483.1113431063047,2430.6252549090646
protein_entropy,-1955.8893337063091,240.9488977163918,-8.117444621010398,7.137494371818689e-15,-2429.6903296489354,-1482.088337763683
,,,,,,
,,,,,,
Shapiro-Wilk test,(Normality of the residuals),,,,,
Null hypothesis:,has normal distribution,,,,,
W,p-value,,,,,
0.9829427003860474,0.0002207750076195225,,,,,
,,,,,,
Condition number,(Mutlicollinearity),,,,,
If above 30:,may have severe multicollinearity,,,,,
number,,,,,,
1.0,,,,,,
,,,,,,
White test,(Heteroskedasticity),,,,,
Null hypothesis:,homoskedasticity,,,,,
Lagrange Multiplier statistic,LM p-value,F statistic,F p-value,,,
126.29870712723094,3.7547775416212496e-28,94.83918945856175,5.821040100078637e-34,,,
,,,,,,
Durbin-Watson test,(Autocorrelation),,,,,
Between 0-4,2 indicates no autocorrelation,,,,,
test statistic,,,,,,
1.3900091718488905,,,,,,
,,,,,,
Rainbow Test,(Linearity),,,,,
Null hypothesis:,linear,,,,,
F statistic,p value,,,,,
1.4314540142285843,0.007580433944344088,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Counts of alternate,species sequences,,,,,
duplicates,1,2,3,4,5,
counts,365,4,1,1,1,
,,,,,,
Basic Statistics,,,,,,
names,count,minimum,maximum,mean,standard deviation,
divergence_time,372,0.0538,3300.6025,115.43747278765893,340.9044514155532,
protein_entropy,372,0.9973190348525468,0.9999930351009004,0.9999070354907545,0.0001675825138835284,
divergence_time_log,372,-1.2692177243336107,3.518593224284446,1.160793593423561,0.8430310020942424,
