NCBI_id,OrthoDB_seq,species_name,amino_entropy,protein_entropy,constructive_entropy,divergence_time,amino_edge_E(G),amino_total_N,protein_edge_E(G),protein_total_N,superkingdom,superkingdom_name,kingdom,kingdom_name,subkingdom,subkingdom_name,phylum,phylum_name,subphylum,subphylum_name,superclass,superclass_name,class,class_name,subclass,subclass_name,order,order_name,family,family_name,genus,genus_name,divergence_time_log
10020,0,Dipodomys ordii,0.9404429129713076,0.9999489243699315,0.0595060113986239,4.3,55581021315828.0,10872065,195357166.0,19767,2759,Eukaryota,33208.0,Metazoa,,,7711.0,Chordata,89593.0,Craniata,8287.0,Sarcopterygii,40674.0,Mammalia,,,9989.0,Rodentia,10015.0,Heteromyidae,10016.0,Dipodomys,0.6334684555795864
10029,0,Cricetulus griseus,0.940799532561612,0.9999520925816004,0.0591525600199882,0.8,57966236698994.0,11100793,221666948.0,21056,2759,Eukaryota,33208.0,Metazoa,,,7711.0,Chordata,89593.0,Craniata,8287.0,Sarcopterygii,40674.0,Mammalia,,,9989.0,Rodentia,337677.0,Cricetidae,10028.0,Cricetulus,-0.09691001300805638
10036,0,Mesocricetus auratus,0.9404483379531317,0.99994998673928,0.0595016487861482,7.0,58508193329471.0,11154648,207804491.0,20387,2759,Eukaryota,33208.0,Metazoa,,,7711.0,Chordata,89593.0,Craniata,8287.0,Sarcopterygii,40674.0,Mammalia,,,9989.0,Rodentia,337677.0,Cricetidae,10035.0,Mesocricetus,0.8450980400142567
10047,0,Meriones unguiculatus,0.9402897121907016,0.999950511941826,0.0596607997511245,3.67,62343759622985.0,11515443,240187475.0,21918,2759,Eukaryota,33208.0,Metazoa,,,7711.0,Chordata,89593.0,Craniata,8287.0,Sarcopterygii,40674.0,Mammalia,,,9989.0,Rodentia,10066.0,Muridae,10046.0,Meriones,0.5646660642520892
10089,0,Mus caroli,0.9406004171053818,0.9999518441058914,0.0593514270005096,3.76666666666667,62625573144997.0,11539534,219734066.0,20964,2759,Eukaryota,33208.0,Metazoa,,,7711.0,Chordata,89593.0,Craniata,8287.0,Sarcopterygii,40674.0,Mammalia,,,9989.0,Rodentia,10066.0,Muridae,10088.0,Mus,0.5759571887637576
10090,0,Mus musculus,0.9406010811252544,0.999950429097236,0.0593493479719816,3.8,77569029226530.0,12842703,262994075.0,22935,2759,Eukaryota,33208.0,Metazoa,,,7711.0,Chordata,89593.0,Craniata,8287.0,Sarcopterygii,40674.0,Mammalia,,,9989.0,Rodentia,10066.0,Muridae,10088.0,Mus,0.57978359661681
10093,0,Mus pahari,0.940576808163772,0.999950558922052,0.0593737507582801,5.83333333333333,60118668272766.0,11306353,207560050.0,20375,2759,Eukaryota,33208.0,Metazoa,,,7711.0,Chordata,89593.0,Craniata,8287.0,Sarcopterygii,40674.0,Mammalia,,,9989.0,Rodentia,10066.0,Muridae,10088.0,Mus,0.7659167939666317
10116,0,Rattus norvegicus,0.94057467111662,0.9999533368626988,0.059378665746079,4.5967942875,73736676756983.0,12521609,267393460.0,23126,2759,Eukaryota,33208.0,Metazoa,,,7711.0,Chordata,89593.0,Craniata,8287.0,Sarcopterygii,40674.0,Mammalia,,,9989.0,Rodentia,10066.0,Muridae,10114.0,Rattus,0.662455068944433
10141,0,Cavia porcellus,0.9403926724358008,0.9999495726751692,0.0595569002393683,7.15,60038126884948.0,11299883,201071318.0,20054,2759,Eukaryota,33208.0,Metazoa,,,7711.0,Chordata,89593.0,Craniata,8287.0,Sarcopterygii,40674.0,Mammalia,,,9989.0,Rodentia,10139.0,Caviidae,10140.0,Cavia,0.8543060418010806
10160,0,Octodon degus,0.9403421684312356,0.9999509829654508,0.0596088145342152,3.007504,60559094658283.0,11349108,215332949.0,20753,2759,Eukaryota,33208.0,Metazoa,,,7711.0,Chordata,89593.0,Craniata,8287.0,Sarcopterygii,40674.0,Mammalia,,,9989.0,Rodentia,10158.0,Octodontidae,10159.0,Octodon,0.4782062136267692
