NCBI_id,OrthoDB_seq,species_name,amino_entropy,protein_entropy,constructive_entropy,divergence_time,amino_edge_E(G),amino_total_N,protein_edge_E(G),protein_total_N,superkingdom,superkingdom_name,kingdom,kingdom_name,subkingdom,subkingdom_name,phylum,phylum_name,subphylum,subphylum_name,superclass,superclass_name,class,class_name,subclass,subclass_name,order,order_name,family,family_name,genus,genus_name,divergence_time_log
100816,1,Madurella mycetomatis,0.938875848312173,0.9998894537971696,0.0610136054849966,55.45,13184212458341.0,5299538,57313588.0,10707,2759,Eukaryota,4751.0,Fungi,451864.0,Dikarya,4890.0,Ascomycota,147538.0,Pezizomycotina,,,147550.0,Sordariomycetes,222544.0,Sordariomycetidae,5139.0,Sordariales,,,100815.0,Madurella,1.7439015504851787
120017,1,Ustilago hordei,0.9366692407460132,0.99985935302391,0.0631901122778968,30.5,7624335690453.0,4034808,25272495.0,7110,2759,Eukaryota,4751.0,Fungi,451864.0,Dikarya,5204.0,Basidiomycota,452284.0,Ustilaginomycotina,,,5257.0,Ustilaginomycetes,,,5267.0,Ustilaginales,5268.0,Ustilaginaceae,5269.0,Ustilago,1.4842998393467857
121759,1,Paracoccidioides brasiliensis,0.940002686932088,0.9998798365846828,0.0598771496525948,127.0,7037096996284.0,3869432,34640325.0,8324,2759,Eukaryota,4751.0,Fungi,451864.0,Dikarya,4890.0,Ascomycota,147538.0,Pezizomycotina,,,147545.0,Eurotiomycetes,451871.0,Eurotiomycetidae,33183.0,Onygenales,,,38946.0,Paracoccidioides,2.103803720955957
268505,1,Ophiocordyceps unilateralis,0.937956941627658,0.999883273183068,0.06192633155541,67.37,7708173142723.0,4054145,36778171.0,8577,2759,Eukaryota,4751.0,Fungi,451864.0,Dikarya,4890.0,Ascomycota,147538.0,Pezizomycotina,,,147550.0,Sordariomycetes,222543.0,Hypocreomycetidae,5125.0,Hypocreales,474942.0,Ophiocordycipitaceae,474995.0,Ophiocordyceps,1.8284665473526782
28985,1,Kluyveromyces lactis,0.9400178542091384,0.9997992686111996,0.0597814144020613,97.01,2844111781293.0,2459916,12880302.0,5076,2759,Eukaryota,4751.0,Fungi,451864.0,Dikarya,4890.0,Ascomycota,147537.0,Saccharomycotina,,,4891.0,Saccharomycetes,,,4892.0,Saccharomycetales,4893.0,Saccharomycetaceae,4910.0,Kluyveromyces,1.9868165045855362
33203,1,Purpureocillium lilacinum,0.9387369822551797,0.9999147780524124,0.0611777957972328,114.72,13798050799326.0,5421905,69166427.0,11762,2759,Eukaryota,4751.0,Fungi,451864.0,Dikarya,4890.0,Ascomycota,147538.0,Pezizomycotina,,,147550.0,Sordariomycetes,222543.0,Hypocreomycetidae,5125.0,Hypocreales,474942.0,Ophiocordycipitaceae,1052105.0,Purpureocillium,2.0596391383237247
47427,1,Armillaria gallica,0.9404652337043684,0.9999604728032468,0.0594952390988784,7.89,35522401513870.0,8691501,329102159.0,25656,2759,Eukaryota,4751.0,Fungi,451864.0,Dikarya,5204.0,Basidiomycota,5302.0,Agaricomycotina,,,155619.0,Agaricomycetes,452333.0,Agaricomycetidae,5338.0,Agaricales,862241.0,Physalacriaceae,47424.0,Armillaria,0.8970770032094203
47428,1,Armillaria ostoyae,0.940316593365202,0.9999545998817594,0.0596380065165574,5.26,38749062690747.0,9078384,248611413.0,22299,2759,Eukaryota,4751.0,Fungi,451864.0,Dikarya,5204.0,Basidiomycota,5302.0,Agaricomycotina,,,155619.0,Agaricomycetes,452333.0,Agaricomycetidae,5338.0,Agaricales,862241.0,Physalacriaceae,47424.0,Armillaria,0.7209857441537391
49012,1,Sporisorium scitamineum,0.9358072043407878,0.999870315134224,0.064063110793436,26.0,6573958048354.0,3748308,29725905.0,7711,2759,Eukaryota,4751.0,Fungi,451864.0,Dikarya,5204.0,Basidiomycota,452284.0,Ustilaginomycotina,,,5257.0,Ustilaginomycetes,,,5267.0,Ustilaginales,5268.0,Ustilaginaceae,63265.0,Sporisorium,1.414973347970818
4952,1,Yarrowia lipolytica,0.9407546639804484,0.999843408203125,0.0590887442226767,309.523666666667,4476875550267.0,3085065,20476793.0,6400,2759,Eukaryota,4751.0,Fungi,451864.0,Dikarya,4890.0,Ascomycota,147537.0,Saccharomycotina,,,4891.0,Saccharomycetes,,,4892.0,Saccharomycetales,34353.0,Dipodascaceae,4951.0,Yarrowia,2.4906938614652834
5061,1,Aspergillus niger,0.9399620503075562,0.9999106105300796,0.0599485602225233,54.2,14659654138424.0,5584981,62568891.0,11187,2759,Eukaryota,4751.0,Fungi,451864.0,Dikarya,4890.0,Ascomycota,147538.0,Pezizomycotina,,,147545.0,Eurotiomycetes,451871.0,Eurotiomycetidae,5042.0,Eurotiales,1131492.0,Aspergillaceae,5052.0,Aspergillus,1.7339992865383869
52586,1,Erysiphe necator,0.9401320806507864,0.9998456790710756,0.0597135984202892,47.52,4404819321645.0,3061150,21017884.0,6484,2759,Eukaryota,4751.0,Fungi,451864.0,Dikarya,4890.0,Ascomycota,147538.0,Pezizomycotina,,,147548.0,Leotiomycetes,,,5120.0,Erysiphales,34371.0,Erysiphaceae,5121.0,Erysiphe,1.676876431973137
5478,1,[Candida] glabrata,0.9401016398884008,0.999806509813973,0.0597048699255723,95.15,3264211126604.0,2635219,13527784.0,5202,2759,Eukaryota,4751.0,Fungi,451864.0,Dikarya,4890.0,Ascomycota,147537.0,Saccharomycotina,,,4891.0,Saccharomycetes,,,4892.0,Saccharomycetales,4893.0,Saccharomycetaceae,374468.0,Nakaseomyces,1.9784087926230391
5551,1,Trichophyton rubrum,0.9400425583483516,0.9998788319399008,0.0598362735915489,34.6,7589316542232.0,4018302,34051878.0,8253,2759,Eukaryota,4751.0,Fungi,451864.0,Dikarya,4890.0,Ascomycota,147538.0,Pezizomycotina,,,147545.0,Eurotiomycetes,451871.0,Eurotiomycetidae,33183.0,Onygenales,34384.0,Arthrodermataceae,5550.0,Trichophyton,1.5390760987927765
5599,1,Alternaria alternata,0.9405658011233654,0.999916819552247,0.0593510184288815,16.99,18338025852843.0,6244486,72571115.0,12048,2759,Eukaryota,4751.0,Fungi,451864.0,Dikarya,4890.0,Ascomycota,147538.0,Pezizomycotina,,,147541.0,Dothideomycetes,451868.0,Pleosporomycetidae,92860.0,Pleosporales,28556.0,Pleosporaceae,5598.0,Alternaria,1.2301933788690456
77020,1,Malassezia pachydermatis,0.9377821597035688,0.9997619048158431,0.0619797451122744,246.667,2128928205144.0,2130809,8826300.0,4202,2759,Eukaryota,4751.0,Fungi,451864.0,Dikarya,5204.0,Basidiomycota,452284.0,Ustilaginomycotina,,,1538075.0,Malasseziomycetes,,,162474.0,Malasseziales,742845.0,Malasseziaceae,55193.0,Malassezia,2.392111051895352
10020,0,Dipodomys ordii,0.9404429129713076,0.9999489243699315,0.0595060113986239,4.3,55581021315828.0,10872065,195357166.0,19767,2759,Eukaryota,33208.0,Metazoa,,,7711.0,Chordata,89593.0,Craniata,8287.0,Sarcopterygii,40674.0,Mammalia,,,9989.0,Rodentia,10015.0,Heteromyidae,10016.0,Dipodomys,0.6334684555795864
10029,0,Cricetulus griseus,0.940799532561612,0.9999520925816004,0.0591525600199882,0.8,57966236698994.0,11100793,221666948.0,21056,2759,Eukaryota,33208.0,Metazoa,,,7711.0,Chordata,89593.0,Craniata,8287.0,Sarcopterygii,40674.0,Mammalia,,,9989.0,Rodentia,337677.0,Cricetidae,10028.0,Cricetulus,-0.09691001300805638
10036,0,Mesocricetus auratus,0.9404483379531317,0.99994998673928,0.0595016487861482,7.0,58508193329471.0,11154648,207804491.0,20387,2759,Eukaryota,33208.0,Metazoa,,,7711.0,Chordata,89593.0,Craniata,8287.0,Sarcopterygii,40674.0,Mammalia,,,9989.0,Rodentia,337677.0,Cricetidae,10035.0,Mesocricetus,0.8450980400142567
10047,0,Meriones unguiculatus,0.9402897121907016,0.999950511941826,0.0596607997511245,3.67,62343759622985.0,11515443,240187475.0,21918,2759,Eukaryota,33208.0,Metazoa,,,7711.0,Chordata,89593.0,Craniata,8287.0,Sarcopterygii,40674.0,Mammalia,,,9989.0,Rodentia,10066.0,Muridae,10046.0,Meriones,0.5646660642520892
10089,0,Mus caroli,0.9406004171053818,0.9999518441058914,0.0593514270005096,3.76666666666667,62625573144997.0,11539534,219734066.0,20964,2759,Eukaryota,33208.0,Metazoa,,,7711.0,Chordata,89593.0,Craniata,8287.0,Sarcopterygii,40674.0,Mammalia,,,9989.0,Rodentia,10066.0,Muridae,10088.0,Mus,0.5759571887637576
10090,0,Mus musculus,0.9406010811252544,0.999950429097236,0.0593493479719816,3.8,77569029226530.0,12842703,262994075.0,22935,2759,Eukaryota,33208.0,Metazoa,,,7711.0,Chordata,89593.0,Craniata,8287.0,Sarcopterygii,40674.0,Mammalia,,,9989.0,Rodentia,10066.0,Muridae,10088.0,Mus,0.57978359661681
10093,0,Mus pahari,0.940576808163772,0.999950558922052,0.0593737507582801,5.83333333333333,60118668272766.0,11306353,207560050.0,20375,2759,Eukaryota,33208.0,Metazoa,,,7711.0,Chordata,89593.0,Craniata,8287.0,Sarcopterygii,40674.0,Mammalia,,,9989.0,Rodentia,10066.0,Muridae,10088.0,Mus,0.7659167939666317
10116,0,Rattus norvegicus,0.94057467111662,0.9999533368626988,0.059378665746079,4.5967942875,73736676756983.0,12521609,267393460.0,23126,2759,Eukaryota,33208.0,Metazoa,,,7711.0,Chordata,89593.0,Craniata,8287.0,Sarcopterygii,40674.0,Mammalia,,,9989.0,Rodentia,10066.0,Muridae,10114.0,Rattus,0.662455068944433
10141,0,Cavia porcellus,0.9403926724358008,0.9999495726751692,0.0595569002393683,7.15,60038126884948.0,11299883,201071318.0,20054,2759,Eukaryota,33208.0,Metazoa,,,7711.0,Chordata,89593.0,Craniata,8287.0,Sarcopterygii,40674.0,Mammalia,,,9989.0,Rodentia,10139.0,Caviidae,10140.0,Cavia,0.8543060418010806
10160,0,Octodon degus,0.9403421684312356,0.9999509829654508,0.0596088145342152,3.007504,60559094658283.0,11349108,215332949.0,20753,2759,Eukaryota,33208.0,Metazoa,,,7711.0,Chordata,89593.0,Craniata,8287.0,Sarcopterygii,40674.0,Mammalia,,,9989.0,Rodentia,10158.0,Octodontidae,10159.0,Octodon,0.4782062136267692
10181,0,Heterocephalus glaber,0.9402600065327094,0.9999504182726634,0.059690411739954,37.8320916666667,63107531574689.0,11585949,207152741.0,20355,2759,Eukaryota,33208.0,Metazoa,,,7711.0,Chordata,89593.0,Craniata,8287.0,Sarcopterygii,40674.0,Mammalia,,,9989.0,Rodentia,10167.0,Bathyergidae,10180.0,Heterocephalus,1.5778603532985331
10224,0,Saccoglossus kowalevskii,0.9428865009657008,0.999950447248908,0.0570639462832074,406.0,50612378315832.0,10361286,218645037.0,20912,2759,Eukaryota,33208.0,Metazoa,,,10219.0,Hemichordata,,,,,10220.0,Enteropneusta,,,,,10221.0,Harrimaniidae,10222.0,Saccoglossus,2.608526033577194
103695,0,Pogona vitticeps,0.9412232431116851,0.9999467677762716,0.0587235246645863,2.07368,56427623323996.0,10950011,178463224.0,18893,2759,Eukaryota,33208.0,Metazoa,,,7711.0,Chordata,89593.0,Craniata,8287.0,Sarcopterygii,8504.0,Lepidosauria,,,8509.0,Squamata,81953.0,Agamidae,52201.0,Pogona,0.31674173905564296
103944,0,Protobothrops mucrosquamatus,0.941491209688512,0.9999494304637202,0.0584582207752082,2.89946,51090988821403.0,10417872,200149910.0,20008,2759,Eukaryota,33208.0,Metazoa,,,7711.0,Chordata,89593.0,Craniata,8287.0,Sarcopterygii,8504.0,Lepidosauria,,,8509.0,Squamata,8689.0,Viperidae,103943.0,Protobothrops,0.4623171217412084
105023,0,Nothobranchius furzeri,0.9407357156047972,0.9999539072128724,0.0592181916080749,4.03,81051661950234.0,13126899,246231082.0,22192,2759,Eukaryota,33208.0,Metazoa,,,7711.0,Chordata,89593.0,Craniata,7898.0,Actinopterygii,186623.0,Actinopteri,41665.0,Neopterygii,28738.0,Cyprinodontiformes,405002.0,Nothobranchiidae,28779.0,Nothobranchius,0.6053050461411094
106582,0,Maylandia zebra,0.941031258291136,0.9999577418214076,0.0589264835302716,0.76111,98085754266310.0,14438296,294285624.0,24261,2759,Eukaryota,33208.0,Metazoa,,,7711.0,Chordata,89593.0,Craniata,7898.0,Actinopterygii,186623.0,Actinopteri,41665.0,Neopterygii,1489911.0,Cichliformes,8113.0,Cichlidae,143623.0,Maylandia,-0.11855257195390502
109280,0,Hippocampus comes,0.9408401523717588,0.999952285491464,0.0591121331197054,5.9,72790223571285.0,12439233,223904438.0,21162,2759,Eukaryota,33208.0,Metazoa,,,7711.0,Chordata,89593.0,Craniata,7898.0,Actinopterygii,186623.0,Actinopteri,41665.0,Neopterygii,129912.0,Syngnathiformes,72045.0,Syngnathidae,72046.0,Hippocampus,0.7708520116421441
